"Column","Data Type","Full Type","Nullable","Default","Constraint"
id,integer,"integer(32,0)",NO,nextval('jira_issue_changelog_id_seq'::regclass),
issue_id,integer,"integer(32,0)",YES,,
issue_key,character varying,character varying(50),NO,,
change_id,integer,"integer(32,0)",NO,,
author_account_id,character varying,character varying(100),YES,,
created_at,timestamp with time zone,timestamp with time zone,YES,,
field_name,character varying,character varying(100),YES,,
field_type,character varying,character varying(50),YES,,
from_value,text,text,YES,,
from_display_value,text,text,YES,,
to_value,text,text,YES,,
to_display_value,text,text,YES,,
issue_created_at,timestamp with time zone,timestamp with time zone,YES,,
project_key,character varying,character varying(50),YES,,
issue_type,character varying,character varying(100),YES,,
priority,character varying,character varying(50),YES,,
jira_url,character varying,character varying(500),YES,,
story_points,numeric,numeric,YES,,
created_on,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,
last_updated,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,
category,character varying,character varying(255),YES,,
is_archived,boolean,boolean,YES,false,
archived_at,timestamp without time zone,timestamp without time zone,YES,,
