"Column","Data Type","Full Type","Nullable","Default","Constraint"
id,integer,"integer(32,0)",NO,nextval('jira_issues_id_seq'::regclass),
jira_id,integer,"integer(32,0)",NO,,
issue_key,character varying,character varying(50),NO,,
project_key,character varying,character varying(50),NO,,
issue_type,character varying,character varying(100),YES,,
status,character varying,character varying(100),YES,,
priority,character varying,character varying(50),YES,,
summary,text,text,YES,,
description,text,text,YES,,
creator_account_id,character varying,character varying(100),YES,,
created_at,timestamp with time zone,timestamp with time zone,YES,,
updated_at,timestamp with time zone,timestamp with time zone,YES,,
due_date,timestamp with time zone,timestamp with time zone,YES,,
resolution_date,timestamp with time zone,timestamp with time zone,YES,,
story_points,numeric,numeric,YES,,
original_estimate,integer,"integer(32,0)",YES,,
remaining_estimate,integer,"integer(32,0)",YES,,
time_spent,integer,"integer(32,0)",YES,,
epic_link,character varying,character varying(50),YES,,
parent_key,character varying,character varying(50),YES,,
labels,text,text,YES,,
components,text,text,YES,,
fix_versions,text,text,YES,,
custom_fields,jsonb,jsonb,YES,,
created_on,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,
updated_on,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,
last_updated,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,
assignee_account_id,character varying,character varying(100),YES,,
reporter_account_id,character varying,character varying(100),YES,,
category,character varying,character varying(255),YES,,
is_archived,boolean,boolean,YES,false,
archived_at,timestamp without time zone,timestamp without time zone,YES,,
